100	230.7	52.0635188976	36062.4	16849.0611679	55.3095902959	19.5878105943	2353.69628777	2480.34252986	846.181349458	1111.1072749	153.6	47.6827012658	4652.4	3572.40062703	4.8760815	2.79966548874
99	228.6	51.3618535491	35952.8	16902.1197771	54.4620068539	18.8610765381	2353.20104795	2480.776945	847.243893732	1115.51013554	152.4	47.7434812304	4637.2	3568.34888429	4.8754754	2.79953904502
98	224.3	49.2362671209	35540.0	16821.4732054	53.2621682499	18.4788098499	2351.21006721	2482.44646788	848.424439134	1119.75802821	149.4	45.64033304	4579.4	3520.45474903	4.7374196	2.82797691473
97	221.4	48.8696224663	35144.0	16948.4858557	52.2266985524	18.010331069	2348.98535371	2484.32764671	849.603563187	1123.9481758	147.5	45.1159616987	4495.2	3528.0461675	4.7204154	2.82179683024
96	218.3	48.2515284732	34910.8	16920.3448712	51.3495190785	18.0693955535	2348.98535371	2484.32764671	850.359339541	1128.05869757	145.7	44.5691597408	4458.8	3527.8780251	4.6426296	2.76517745728
95	215.9	47.7754120861	34755.2	16866.3981502	50.5050603496	18.0241339414	2348.98535371	2484.32764671	851.05609245	1132.10385648	144.0	44.0454310911	4427.6	3505.83283115	4.5965896	2.74608327078
94	212.3	46.2299686351	34288.2	16566.1432675	49.4819519792	17.7588161324	2348.98535371	2484.32764671	851.613936257	1136.06801394	141.7	43.1208766145	4370.4	3450.72430658	4.5088963	2.72212030245
93	209.0	44.9844417549	33724.8	15795.7431785	48.6589058358	17.5483612545	2348.98535371	2484.32764671	851.960575827	1139.94298943	138.9	41.6808109326	4249.0	3330.42799051	4.4488185	2.64567885177
92	206.0	44.3283205186	33477.6	15744.3770737	47.8921801367	17.2517536673	2347.3854447	2484.71890506	851.926692034	1143.76376254	136.9	41.1496051014	4221.4	3340.30047151	4.4323117	2.65742837908
91	204.1	44.3856958941	33358.4	15759.5241502	47.2938435818	17.0917051406	2347.3854447	2484.71890506	852.362737075	1147.26322478	135.2	41.1115555532	4179.2	3343.53097189	4.4246482	2.65787036698
90	199.2	42.2984633291	33014.0	15675.2305501	46.1442170949	16.8113036032	2347.3854447	2484.71890506	852.365025936	1150.77081783	131.0	38.1182371051	4124.8	3269.22317378	4.397966	2.63577544912
89	195.1	40.0535891026	32674.8	15671.7793553	45.1583109541	16.1488525862	2347.3854447	2484.71890506	851.912545117	1154.08841938	128.1	36.5607713267	4088.0	3238.39787549	4.3705726	2.62203669402
88	192.2	38.8067004524	32576.6	15693.6250764	44.3030593129	15.6008701748	2347.3854447	2484.71890506	851.398151211	1157.48272174	126.2	35.283990704	4076.0	3237.77207351	4.2669874	2.60389589556
87	190.3	38.1393497585	32485.4	15701.068933	43.6177993004	15.2040003193	2347.3854447	2484.71890506	850.535471065	1160.81577913	124.9	35.3084975608	4062.4	3246.71733294	4.2405851	2.62001176564
86	186.8	37.0318781592	32233.0	15632.5105661	42.685898579	14.9315609434	2347.3854447	2484.71890506	849.551097453	1164.06594389	122.9	34.5237599343	4013.8	3204.24511547	4.2039452	2.62971268353
85	184.1	36.5306720442	32021.0	15525.9577804	42.1124798864	14.9009070155	2347.3854447	2484.71890506	847.885875224	1167.14907233	121.4	33.9623320754	3969.6	3162.04412366	4.1778537	2.62815807555
84	181.6	35.8502440717	31843.8	15458.7965237	41.5485641171	14.7698731458	2347.3854447	2484.71890506	846.048477003	1170.00980852	119.2	33.1324614238	3912.0	3147.94523459	4.1428554	2.60742219873
83	178.6	36.2607225521	31640.2	15443.2963437	40.7548896978	14.8639941666	2347.3854447	2484.71890506	844.167794864	1172.61142428	116.3	33.1120823869	3866.2	3102.05808456	3.9969168	2.59422574273
82	176.6	36.5436725029	31375.8	15367.1333553	40.1992629004	14.8997532491	2347.3854447	2484.71890506	841.932771575	1174.8219242	114.8	33.4598266582	3847.8	3106.14145847	3.9638084	2.61121727416
81	174.6	36.8760084608	31228.6	15265.7970129	39.5934914001	15.0358914534	2347.3854447	2484.71890506	839.850452446	1176.8566771	113.3	33.8468610066	3820.2	3101.44475366	3.9449208	2.60463781694
80	172.1	36.6563773442	30987.0	15232.1749793	38.8933774851	15.0817608614	2346.00892022	2481.85374852	837.319781197	1178.68338777	111.6	33.3532607102	3777.8	3086.80798885	3.9199543	2.58783549192
79	169.5	36.2525861146	30575.0	15079.8645684	38.198703397	14.9371854464	2344.86188963	2482.14076015	837.747501696	1180.83870449	110.1	33.1464930272	3722.8	3049.01796649	3.8676435	2.5869867669
78	167.8	36.0466364589	30522.4	15066.3826262	37.8167004612	14.8990132579	2344.07202976	2482.34115408	838.122450228	1182.98621938	108.8	32.7530151284	3708.6	3027.74226776	3.8667739	2.58726059334
77	165.7	36.0473299982	30139.2	14588.9747467	37.3834820623	14.903590773	2330.97367106	2485.99126993	838.677503521	1184.87833973	107.3	32.4223688215	3577.2	2930.97010561	3.8520229	2.57942041894
76	162.9	36.3330428123	30073.8	14542.403115	36.7719761789	14.9473419806	2330.97367106	2485.99126993	839.32937659	1186.34265805	105.7	31.8498037671	3551.8	2918.66592127	3.8296479	2.57787227984
75	161.5	36.1310116105	30044.2	14544.8316718	36.1922046043	14.529559748	2328.57218777	2486.72726859	839.297071994	1187.72875715	104.7	31.7523227497	3535.4	2912.37676821	3.8222859	2.55823386813
74	158.8	34.5942191703	29966.6	14535.6274595	35.3307128778	13.7225201287	2328.57218777	2486.72726859	839.065667586	1188.76669152	103.2	31.108841187	3507.8	2880.77565249	3.799409	2.56539526381
